Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
allaml,LSCAE,300,0.711111111111111,0.005555555555555536,0.12521439377391333,0.008239691250548187
allaml,MCFS,100,0.7083333333333334,0.02742835785851597,0.11778946880877947,0.025395032649020727
allaml,NDFS,200,0.6708333333333333,0.07796356778158993,0.10190752097229536,0.07775630934393334
allaml,LS,150,0.6361111111111111,0.06698419750993052,0.07899993775607736,0.049612944518439415
allaml,CAE,200,0.5451388888888888,0.01856908605155688,0.1665821149038158,0.02056479680967615
